model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
bigscience/bloom-1b7,0,side,12,informative,hi,informative,hi,shuffled,0.3333333333333333
bigscience/bloom-1b7,0,side,13,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,13,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,13,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,13,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,13,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,13,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,13,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,14,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,14,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,14,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,14,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,14,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,14,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,14,informative,hi,informative,hi,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,15,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,15,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,15,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,15,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,15,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,15,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,15,informative,hi,informative,hi,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,16,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,16,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,16,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,16,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,16,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,16,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,16,informative,hi,informative,hi,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,17,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,17,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,17,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,17,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,17,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,17,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,17,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,18,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,18,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,18,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,18,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,18,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,18,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,18,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,19,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,19,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,19,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,19,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,19,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,19,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,19,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,20,informative,hi,informative,bn,none,0.5833333333333334
bigscience/bloom-1b7,0,side,20,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,20,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,20,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,20,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,20,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,20,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,21,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,21,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,21,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,21,informative,hi,neutral,bn,none,0.5833333333333334
bigscience/bloom-1b7,0,side,21,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,21,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,21,informative,hi,informative,hi,shuffled,0.5833333333333334
bigscience/bloom-1b7,0,side,22,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,22,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,22,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,22,informative,hi,neutral,bn,none,0.5833333333333334
bigscience/bloom-1b7,0,side,22,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,22,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,22,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,23,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,23,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,23,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,23,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,23,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,23,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,23,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,0,informative,en,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,0,informative,en,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,0,informative,en,informative,en,none,1.0
bigscience/bloom-1b7,0,side,0,informative,en,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,0,informative,en,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,0,informative,en,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,0,informative,en,informative,en,shuffled,0.5
bigscience/bloom-1b7,0,side,1,informative,en,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,1,informative,en,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,1,informative,en,informative,en,none,1.0
bigscience/bloom-1b7,0,side,1,informative,en,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,1,informative,en,neutral,hi,none,0.4166666666666667
bigscience/bloom-1b7,0,side,1,informative,en,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,1,informative,en,informative,en,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,2,informative,en,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,2,informative,en,informative,hi,none,0.5
