model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,6,1,hi,neutral,hi,0.4916666666666666,-0.0019217987855275,120
bigscience/bloom-560m,0,side,8,1,hi,informative,bn,0.6833333333333333,0.3319883286952972,120
bigscience/bloom-560m,0,side,8,1,hi,informative,en,0.5083333333333333,0.0911465962727864,120
bigscience/bloom-560m,0,side,8,1,hi,informative,hi,0.6416666666666667,0.485270607471466,120
bigscience/bloom-560m,0,side,8,1,hi,neutral,bn,0.4416666666666666,-0.1535639504591624,120
bigscience/bloom-560m,0,side,8,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,8,1,hi,neutral,hi,0.525,0.0553262561559677,120
bigscience/bloom-560m,0,side,10,1,hi,informative,bn,0.675,0.3102150460084279,120
bigscience/bloom-560m,0,side,10,1,hi,informative,en,0.5083333333333333,0.0810310363769531,120
bigscience/bloom-560m,0,side,10,1,hi,informative,hi,0.6166666666666667,0.3937360078096389,120
bigscience/bloom-560m,0,side,10,1,hi,neutral,bn,0.4333333333333333,-0.1642952561378479,120
bigscience/bloom-560m,0,side,10,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,10,1,hi,neutral,hi,0.4916666666666666,0.0025190909703572,120
bigscience/bloom-560m,0,side,12,1,hi,informative,bn,0.6916666666666667,0.3235677460829417,120
bigscience/bloom-560m,0,side,12,1,hi,informative,en,0.5083333333333333,0.0817822774251302,120
bigscience/bloom-560m,0,side,12,1,hi,informative,hi,0.6166666666666667,0.4339551468690236,120
bigscience/bloom-560m,0,side,12,1,hi,neutral,bn,0.4416666666666666,-0.1639938294887542,120
bigscience/bloom-560m,0,side,12,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,1,hi,neutral,hi,0.4916666666666666,0.0241019258896509,120
bigscience/bloom-560m,0,side,12,4,hi,informative,bn,0.65,0.294978380203247,120
bigscience/bloom-560m,0,side,12,4,hi,informative,en,0.5,0.0843638102213541,120
bigscience/bloom-560m,0,side,12,4,hi,informative,hi,0.5833333333333334,0.2811463803052902,120
bigscience/bloom-560m,0,side,12,4,hi,neutral,bn,0.45,-0.1663460592428843,120
bigscience/bloom-560m,0,side,12,4,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,4,hi,neutral,hi,0.4333333333333333,-0.0763082951307296,120
bigscience/bloom-560m,0,side,14,1,hi,informative,bn,0.6916666666666667,0.3137464841206868,120
bigscience/bloom-560m,0,side,14,1,hi,informative,en,0.5083333333333333,0.0814310709635416,120
bigscience/bloom-560m,0,side,14,1,hi,informative,hi,0.6166666666666667,0.4323109060525894,120
bigscience/bloom-560m,0,side,14,1,hi,neutral,bn,0.4333333333333333,-0.1754946490128835,120
bigscience/bloom-560m,0,side,14,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,14,1,hi,neutral,hi,0.5,0.0195879369974136,120
bigscience/bloom-560m,0,side,16,1,hi,informative,bn,0.675,0.3175296366214752,120
bigscience/bloom-560m,0,side,16,1,hi,informative,en,0.5083333333333333,0.0826014200846354,120
bigscience/bloom-560m,0,side,16,1,hi,informative,hi,0.625,0.4203299909830093,120
bigscience/bloom-560m,0,side,16,1,hi,neutral,bn,0.4416666666666666,-0.1745258748531341,120
bigscience/bloom-560m,0,side,16,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,16,1,hi,neutral,hi,0.5,0.0097338289022445,120
bigscience/bloom-560m,0,side,18,1,hi,informative,bn,0.6666666666666666,0.3231787979602813,120
bigscience/bloom-560m,0,side,18,1,hi,informative,en,0.5083333333333333,0.0903597513834635,120
bigscience/bloom-560m,0,side,18,1,hi,informative,hi,0.6416666666666667,0.4378129531939824,120
bigscience/bloom-560m,0,side,18,1,hi,neutral,bn,0.4416666666666666,-0.1661768019199371,120
bigscience/bloom-560m,0,side,18,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,18,1,hi,neutral,hi,0.5,0.0226685633261998,120
bigscience/bloom-560m,0,side,20,1,hi,informative,bn,0.6583333333333333,0.3175222357114156,120
bigscience/bloom-560m,0,side,20,1,hi,informative,en,0.5083333333333333,0.0814717610677083,120
bigscience/bloom-560m,0,side,20,1,hi,informative,hi,0.6583333333333333,0.3439183841149012,120
bigscience/bloom-560m,0,side,20,1,hi,neutral,bn,0.45,-0.1805259307225545,120
bigscience/bloom-560m,0,side,20,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,20,1,hi,neutral,hi,0.475,-0.038739863038063,120
bigscience/bloom-560m,0,side,22,1,hi,informative,bn,0.6583333333333333,0.305770593881607,120
bigscience/bloom-560m,0,side,22,1,hi,informative,en,0.5083333333333333,0.0803464253743489,120
bigscience/bloom-560m,0,side,22,1,hi,informative,hi,0.6166666666666667,0.2754331707954406,120
bigscience/bloom-560m,0,side,22,1,hi,neutral,bn,0.4416666666666666,-0.1874779005845387,120
bigscience/bloom-560m,0,side,22,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,22,1,hi,neutral,hi,0.4666666666666667,-0.0743460406859715,120
bigscience/bloom-560m,0,side,0,1,en,informative,bn,0.6833333333333333,0.3200952291488647,120
bigscience/bloom-560m,0,side,0,1,en,informative,en,0.5083333333333333,0.0650558471679687,120
bigscience/bloom-560m,0,side,0,1,en,informative,hi,0.6333333333333333,0.3866166224082311,120
bigscience/bloom-560m,0,side,0,1,en,neutral,bn,0.45,-0.1715730011463165,120
bigscience/bloom-560m,0,side,0,1,en,neutral,en,0.5,0.0,120
