model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,12,4,hi,neutral,bn,0.45,-0.16634605924288431,120
bigscience/bloom-560m,0,side,12,4,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,4,hi,neutral,hi,0.43333333333333335,-0.07630829513072968,120
bigscience/bloom-560m,0,side,14,1,hi,informative,bn,0.6916666666666667,0.31374648412068684,120
bigscience/bloom-560m,0,side,14,1,hi,informative,en,0.5083333333333333,0.08143107096354167,120
bigscience/bloom-560m,0,side,14,1,hi,informative,hi,0.6166666666666667,0.4323109060525894,120
bigscience/bloom-560m,0,side,14,1,hi,neutral,bn,0.43333333333333335,-0.1754946490128835,120
bigscience/bloom-560m,0,side,14,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,14,1,hi,neutral,hi,0.5,0.019587936997413635,120
bigscience/bloom-560m,0,side,16,1,hi,informative,bn,0.675,0.3175296366214752,120
bigscience/bloom-560m,0,side,16,1,hi,informative,en,0.5083333333333333,0.08260142008463542,120
bigscience/bloom-560m,0,side,16,1,hi,informative,hi,0.625,0.4203299909830093,120
bigscience/bloom-560m,0,side,16,1,hi,neutral,bn,0.44166666666666665,-0.17452587485313414,120
bigscience/bloom-560m,0,side,16,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,16,1,hi,neutral,hi,0.5,0.009733828902244567,120
bigscience/bloom-560m,0,side,18,1,hi,informative,bn,0.6666666666666666,0.32317879796028137,120
bigscience/bloom-560m,0,side,18,1,hi,informative,en,0.5083333333333333,0.09035975138346354,120
bigscience/bloom-560m,0,side,18,1,hi,informative,hi,0.6416666666666667,0.43781295319398245,120
bigscience/bloom-560m,0,side,18,1,hi,neutral,bn,0.44166666666666665,-0.16617680191993714,120
bigscience/bloom-560m,0,side,18,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,18,1,hi,neutral,hi,0.5,0.02266856332619985,120
bigscience/bloom-560m,0,side,20,1,hi,informative,bn,0.6583333333333333,0.31752223571141563,120
bigscience/bloom-560m,0,side,20,1,hi,informative,en,0.5083333333333333,0.08147176106770833,120
bigscience/bloom-560m,0,side,20,1,hi,informative,hi,0.6583333333333333,0.3439183841149012,120
